    Fretboard Notes and Frequencies

    Copyright (c)  2010-2023 by Gary J. Teixeira Jr.
    Permission is granted to copy. distribute and/or modify this document
    under the terms of the Attribution-NonCommercial 4.0 International License

    This book is distributed in the hope that it will be useful,
    but WITHOUT ANY WARRANTY; without even the implied warranty of
    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

    You may contact the writer of this document at: ambientmine AT protonmail DOT com


Mandolin (16 Frets) 96Hz, 293.7Hz, 440Hz, 659.3Hz

-15 Frets

    4              3              2              1

2   A4   110       E5   329.6276  B6   493.8833  F#6  739.9888
3   Bb4  116.5409  F5   349.2282  C6   523.2511  G6   783.9909
4   B4   123.4708  F#5  369.9944  C#6  554.3653  G#6  830.6094
5   C4   130.8128  G5   391.9954  D6   587.3295  A7   880
6   C#4  138.5913  G#5  415.3047  D#6  622.254   Bb7  932.3275
7   D4   146.8324  A6   440       E6   659.2551  B7   987.7666
8   D#4  155.5635  Bb6  466.1638  F6   698.4565  C7   1046.502
9   E4   164.8138  B6   493.8833  F#6  739.9888  C#7  1108.731
10  F4   174.6141  C6   523.2511  G6   783.9909  D7   1174.659
11  F#4  184.9972  C#6  554.3653  G#6  830.6094  D#7  1244.508
12  G4   195.9977  D6   587.3295  A7   880       E7   1318.51
13  G#4  207.6523  D#6  622.254   Bb7  932.3275  F7   1396.913
14  A5   220       E6   659.2551  B7   987.7666  F#7  1479.978
15  Bb5  233.0819  F6   698.4565  C7   1046.502  G7   1567.982
16  B5   246.9417  F#6  739.9888  C#7  1108.731  G#7  1661.219
